
Grid number = 15
total number of knots: 72004
sampled configurations = 8000
 
Sampled knots = $0_1$ = 4452 $3_1$ = 1519 $4_1$ = 434 $5_1$ = 235 $5_2$ = 354 $6_1$ = 96 $6_2$ = 120 $6_3$ = 76 $7_1$ = 16 $7_2$ = 32 $7_3$ = 27 $7_4$ = 18 $7_5$ = 22 $7_6$ = 31 $7_7$ = 18 $8_1$ = 4 $8_2$ = 4 $8_3$ = 2 $8_4$ = 5 $8_5$ = 0 $8_6$ = 7 $8_7$ = 5 $8_8$ = 6 $8_9$ = 1 $8_10$ = 5 $8_11$ = 2 $8_12$ = 2 $8_13$ = 6 $8_14$ = 6 $8_15$ = 3 $8_16$ = 3 $8_17$ = 3 $8_18$ = 0 $8_19$ = 41 $8_20$ = 43 $8_21$ = 25 $other$ = 377
Total knots = $0_1$ = 35528 $3_1$ = 14280 $4_1$ = 4455 $5_1$ = 2512 $5_2$ = 3625 $6_1$ = 1161 $6_2$ = 1217 $6_3$ = 770 $7_1$ = 172 $7_2$ = 315 $7_3$ = 334 $7_4$ = 164 $7_5$ = 344 $7_6$ = 388 $7_7$ = 205 $8_1$ = 61 $8_2$ = 59 $8_3$ = 14 $8_4$ = 67 $8_5$ = 32 $8_6$ = 76 $8_7$ = 67 $8_8$ = 80 $8_9$ = 32 $8_10$ = 65 $8_11$ = 52 $8_12$ = 35 $8_13$ = 69 $8_14$ = 83 $8_15$ = 40 $8_16$ = 23 $8_17$ = 23 $8_18$ = 2 $8_19$ = 345 $8_20$ = 563 $8_21$ = 290 $other$ = 4456
 20568,   6297,   2546,   0,   831,   252,   207,   207,   0,   56,   0,   0,   0,   50,   36,   8,   0,   0,   0,   0,   0,   2,   1,   1,   0,   5,   0,   9,   4,   0,   0,   5,   0,   0,   80,   84,   171,  
 6048,   3022,   0,   992,   988,   0,   220,   263,   0,   0,   0,   16,   39,   50,   20,   0,   7,   0,   0,   0,   13,   2,   16,   0,   0,   0,   0,   0,   6,   0,   3,   2,   2,   0,   0,   0,   594,  
 2362,   0,   576,   0,   0,   299,   257,   0,   0,   0,   0,   0,   0,   48,   48,   0,   0,   0,   6,   0,   0,   0,   0,   0,   0,   0,   11,   4,   13,   0,   0,   0,   0,   0,   0,   0,   89,  
 0,   947,   0,   246,   455,   0,   0,   0,   79,   0,   67,   0,   38,   0,   0,   0,   11,   0,   0,   0,   0,   4,   0,   0,   5,   0,   0,   0,   0,   4,   1,   0,   0,   169,   0,   19,   90,  
 846,   1037,   0,   447,   322,   0,   0,   0,   0,   83,   67,   48,   88,   70,   0,   0,   0,   0,   0,   0,   0,   0,   12,   0,   8,   6,   0,   12,   12,   13,   0,   0,   0,   0,   139,   0,   90,  
 223,   0,   293,   0,   0,   160,   109,   0,   0,   0,   0,   0,   0,   0,   0,   19,   0,   6,   13,   0,   10,   0,   0,   0,   0,   12,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0,   116,  
 189,   253,   313,   0,   0,   123,   80,   0,   0,   0,   0,   0,   0,   0,   0,   0,   14,   0,   16,   9,   20,   0,   0,   16,   0,   9,   0,   0,   10,   0,   0,   5,   0,   0,   0,   52,   116,  
 215,   310,   0,   0,   0,   0,   0,   48,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   23,   11,   0,   14,   0,   0,   13,   0,   0,   6,   0,   0,   0,   75,   0,   41,  
 0,   0,   0,   87,   0,   0,   0,   0,   10,   0,   31,   0,   16,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   22,  
 81,   0,   0,   0,   104,   0,   0,   0,   0,   18,   32,   0,   29,   20,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   59,  
